STUDYNO,EDITION,PART,IDNO,FIPS_ST,FIPS_CTY,SPOPARST,SPOPCRIM,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,SVIOL,SPROPERTY,SMURDER,SRAPE,SROBBERY,SAGASSLT,SBURGLRY,SLARCENY,SMVTHEFT,SARSON
9999,1,8,1719,31,93,1907116,1847434,0,3,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1720,31,95,1907116,1847434,3718,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1721,31,97,1907116,1847434,5156,2,2,66.6667,0,0,0,0,0,0,0,0,0,0
9999,1,8,1722,31,99,1907116,1847434,6595,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1723,31,101,1907116,1847434,7991,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1724,31,103,1907116,1847434,800,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1725,31,105,1907116,1847434,3658,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1726,31,107,1907116,1847434,8504,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1727,31,109,1907116,1847434,310207,4,4,100,1,2,0,0,0,1,0,2,0,0
9999,1,8,1728,31,111,1907116,1847434,35480,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1729,31,113,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1730,31,115,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1731,31,117,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1732,31,119,1907116,1847434,35005,5,5,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1733,31,121,1907116,1847434,7762,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1734,31,123,1907116,1847434,4810,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1735,31,125,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1736,31,127,1907116,1847434,6996,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1737,31,129,1907116,1847434,1869,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1738,31,131,1907116,1847434,16003,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1739,31,133,1907116,1847434,2633,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1740,31,135,1907116,1847434,2932,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1741,31,137,1907116,1847434,9303,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1742,31,139,1907116,1847434,5443,4,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1743,31,141,1907116,1847434,32906,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1744,31,143,1907116,1847434,5158,2,2,91.6667,0,0,0,0,0,0,0,0,0,0
9999,1,8,1745,31,145,1907116,1847434,10768,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1746,31,147,1907116,1847434,8029,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1747,31,149,1907116,1847434,1355,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1748,31,151,1907116,1847434,14272,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1749,31,153,1907116,1847434,178786,6,5,100,0,1,0,0,0,0,0,1,0,0
9999,1,8,1750,31,155,1907116,1847434,21014,4,4,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1751,31,157,1907116,1847434,35248,6,5,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1752,31,159,1907116,1847434,15036,4,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1753,31,161,1907116,1847434,3650,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1754,31,163,1907116,1847434,3075,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1755,31,165,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1756,31,167,1907116,1847434,5890,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1757,31,169,1907116,1847434,5144,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1758,31,171,1907116,1847434,0,2,1,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1759,31,173,1907116,1847434,6188,3,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1760,31,175,1907116,1847434,4127,3,3,87.4243,0,0,0,0,0,0,0,0,0,0
9999,1,8,1761,31,177,1907116,1847434,20211,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1762,31,179,1907116,1847434,3756,3,2,91.6667,0,0,0,0,0,0,0,0,0,0
9999,1,8,1763,31,181,1907116,1847434,3582,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1764,31,183,1907116,1847434,735,2,2,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1765,31,185,1907116,1847434,13815,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1766,31,777,1907116,1847434,0,3,3,100,0,0,0,0,0,0,0,0,0,0
9999,1,8,1767,32,1,2940058,2940058,24163,2,2,100,0,0,0,0,0,0,0,0,0,0
