year,crime_type,agency,agency_name,county,state,state_name,latitude,longitude,age 0-9,age 10-19,age 20-29,age 30-39,age 40-49,age 50-59,age 60-69,age 70-79,age 80-89,age 90-Older,age Unknown,total_crimes
2017,violent-crime,SD0490200,Sioux Falls Police Department,LINCOLN; MINNEHAHA,SD,South Dakota,43.553837,-96.73019,0,106,209,160,84,47,13,3,1,0,13,636
2017,property-crime,SD0020100,Huron Police Department,BEADLE,SD,South Dakota,44.418265,-98.279422,3,42,43,24,14,7,0,2,1,0,0,136
2017,violent-crime,SD0020100,Huron Police Department,BEADLE,SD,South Dakota,44.418265,-98.279422,0,14,15,11,3,3,1,0,0,0,0,47
2017,property-crime,SD0300000,Hanson County Sheriff's Office,HANSON,SD,South Dakota,43.680612,-97.796845,0,1,0,1,0,0,0,0,0,0,0,2
2017,violent-crime,SD0300000,Hanson County Sheriff's Office,HANSON,SD,South Dakota,43.680612,-97.796845,0,0,0,0,0,0,0,0,0,0,0,0
2017,property-crime,SD0240000,Faulk County Sheriff's Office,FAULK,SD,South Dakota,45.065476,-99.153564,0,0,0,0,1,0,1,0,0,0,0,2
2017,violent-crime,SD0240000,Faulk County Sheriff's Office,FAULK,SD,South Dakota,45.065476,-99.153564,0,0,0,1,0,0,0,0,0,0,0,1
2017,property-crime,SD0460300,Summerset Police Department,MEADE,SD,South Dakota,44.60521,-102.714139,4,45,3,0,0,0,1,0,0,0,0,53
2017,violent-crime,SD0460300,Summerset Police Department,MEADE,SD,South Dakota,44.60521,-102.714139,0,0,1,0,0,0,0,0,0,0,0,1
2017,property-crime,SD0430000,McCook County Sheriff's Office,MCCOOK,SD,South Dakota,43.678924,-97.362036,0,3,3,6,5,2,0,0,0,0,4,23
2017,violent-crime,SD0430000,McCook County Sheriff's Office,MCCOOK,SD,South Dakota,43.678924,-97.362036,0,0,0,0,0,0,0,0,0,0,1,1
2017,property-crime,SD0070000,Brule County Sheriff's Office,BRULE,SD,South Dakota,43.812977,-99.33027,0,2,0,2,3,0,1,0,0,0,0,8
2017,violent-crime,SD0070000,Brule County Sheriff's Office,BRULE,SD,South Dakota,43.812977,-99.33027,0,2,1,0,0,0,0,0,0,0,0,3
2017,property-crime,SD0510100,Rapid City Police Department,PENNINGTON,SD,South Dakota,44.078087,-103.22213,4,538,635,582,256,115,22,7,2,0,85,2246
2017,violent-crime,SD0510100,Rapid City Police Department,PENNINGTON,SD,South Dakota,44.078087,-103.22213,0,77,203,111,45,20,5,0,0,0,24,485
2017,property-crime,SD0640100,Mobridge Police Department,WALWORTH,SD,South Dakota,45.533497,-100.43243,0,6,16,3,11,1,0,0,0,0,0,37
